   ,mean_fit_time       ,std_fit_time         ,mean_score_time     ,std_score_time        ,param_max_depth ,param_min_samples_leaf ,param_min_samples_split ,param_n_estimators ,params                                                                                   ,split0_test_score  ,split1_test_score  ,split2_test_score  ,split3_test_score  ,mean_test_score    ,std_test_score        ,rank_test_score
25 , 8.259105741977692  ,0.41183706084135363  ,0.36286425590515137 ,0.01757835368266873   ,             10 ,                     2 ,                     10 ,               150 ,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 150}" ,0.810389922736975  ,0.8120734750323182 ,0.8164627363737486 ,0.8178757177644831 ,0.8142004629768813 ,0.0030687812447381044 ,             27
22 ,10.338719964027405  ,0.4298791645349493   ,0.4518561363220215  ,0.053668776108973824  ,             10 ,                     2 ,                      5 ,               150 ,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 150}"  ,0.8111715720169558 ,0.8123440459369269 ,0.8160719117337583 ,0.8170940684845023 ,0.8141703995430358 ,0.002474475839267991  ,             28
31 , 9.128931641578674  ,0.6721680040372628   ,0.38396143913269043 ,0.03767968045589473   ,             10 ,                     4 ,                      5 ,               150 ,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 150}"  ,0.8105703033400475 ,0.8117127138261733 ,0.8162823557706761 ,0.8178155908967922 ,0.8140952409584223 ,0.003030102952675265  ,             29
35 ,10.24679708480835   ,0.0736414066610308   ,0.4820413589477539  ,0.015624225635203414  ,             10 ,                     4 ,                     10 ,               200 ,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 200}" ,0.8108709376785016 ,0.8118630309954002 ,0.8161019751676036 ,0.817364639389111  ,0.8140501458076541 ,0.0027425675449439355 ,             30
29 ,11.6027050614357    ,0.6294419988770548   ,0.5348694324493408  ,0.06842806544443061   ,             10 ,                     4 ,                      2 ,               200 ,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200}"  ,0.8107807473769654 ,0.8118329675615549 ,0.815981721432222  ,0.817003878182966  ,0.8138998286384271 ,0.0026443327989541525 ,             31
27 , 5.605557382106781  ,0.6626900666643485   ,0.25936031341552734 ,0.027523955461948083  ,             10 ,                     4 ,                      2 ,               100 ,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}"  ,0.8109911914138833 ,0.8115924600907916 ,0.8146288669091784 ,0.8182665424044734 ,0.8138697652045815 ,0.0028887796209298875 ,             32
23 ,15.252131938934326  ,0.8823922962691333   ,0.6369194984436035  ,0.06965567584659475   ,             10 ,                     2 ,                      5 ,               200 ,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}"  ,0.8110513182815742 ,0.8111715720169558 ,0.8155007064906954 ,0.8176652737275651 ,0.8138472176291975 ,0.002841113795227537  ,             33
30 , 5.542443811893463  ,0.2667237207912138   ,0.24717849493026733 ,0.006203463046222684  ,             10 ,                     4 ,                      5 ,               100 ,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100}"  ,0.8104500496046658 ,0.8113218891861829 ,0.815981721432222  ,0.8176051468598743 ,0.8138397017707363 ,0.0030247292014074063 ,             34
21 , 6.618969082832336  ,0.4301554479276875   ,0.29364216327667236 ,0.029598942340713818  ,             10 ,                     2 ,                      5 ,               100 ,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}"  ,0.8109010011123471 ,0.8115623966569462 ,0.8153804527553137 ,0.8173947028229565 ,0.8138096383368909 ,0.002684697887028262  ,             35
28 , 8.608627259731293  ,0.36939227533943     ,0.3825663924217224  ,0.029901840795705854  ,             10 ,                     4 ,                      2 ,               150 ,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 150}"  ,0.8099690346631392 ,0.8114421429215645 ,0.8160117848660674 ,0.8174247662568018 ,0.8137119321768932 ,0.0030917504895651136 ,             36
